"question","category","answer","options"
"Musa can make three payments on his bicycle. The bicycle cost him ₦3000. The first installment will be half of the cost of the bicycle. The second installment will be half of the balance. How much will Musa need to pay on his last installment?","A","₦750.00","₦750___₦1000___₦150___₦250___₦2500"
"A mechanic workshop charges a customer ₦850 to repair his bike. The bike parts cost ₦50 and the remainder was for labour. If the cost of labour is ₦100 per hour, how many hours of labour did it take the mechanic workshop to repair the bike?","A","8","1___7___8___4___10"
"Suppose you owe ₦40 to each of four friends, ₦10 to each of three friends, and ₦100 to your parents. If two friends each owe you ₦70, what is your net debt?","A","₦150.00","₦140____₦220____₦150____₦80"
"If Adamu issues 50 prepaid cards in 30 minutes, how many cards can he issue in 3 hours?","A","300","400___20___600___150___300"
"Mary, Bilikisu, and Amina need to prepare 500 plates of food. If Mary prepares 150 plates of food; Amina prepares 200 plates of food; how many plates of food should Bilikisu prepare?","A","150","300__50__350__150__500"
"Musa buys 6 sugarcanes for ₦100 each. He sells all 6 for a total of ₦1,000. How much total profit did he make?","A","₦6,000.00","₦600____₦900____₦300____₦400____₦6000"
"What is the next number in the sequence: 1, 2, 3, 5, 8, 13, _?","B","21","21__24__34__47__52"
"What is the sum of 10 and 15","B","25","25__35__45__55__65"
"What is the product of 5 and 7","B","35","55__65__35__45__50"
"What's the difference between 20 and 10","B","10","45__23__21__10_5"
"What is the quotient of 20 divided by 5","B","4","9__5__4__3__6"
"What is the area of a square with a side length of 5cm","B","25 cm","75cm__40cm__25cm___34cm__90cm"
"Which of the following is an example of a traditional farming method?","C","Conventional Farming","Hydrophonics__Aquaphonics__Organic Farming__Vertical Farming__Conventional Farming"
"What is the primary purpose of using irrigation in agriculture?","C","Water supply to crops","Pest control__Soil aeration__Weed suppression__Fertilizer application__Water supply to crops"
"Which of the following is a common cereal crop","C","Wheat","Tomato__Potato__Wheat__Carrot__Lettuce"
"What is the process of removing weeds from a cultivates field called ?","C","Weed Control","Pollination__Fertilzation__Germination__Irrigation__Weed control"
"Which farming practice involves the cultivation of fruits and vegetables without the use of synthetic fertilizers and pesticides?","C","Organic Farming","Organic Farming__Intensive Farming__Subsistence farming__Commercial Farming__Precision Farming"
"What is the purpose of crop rotation in farming?","C","Improve Soil Fertility","Maximize water usage__Improve soil fertility__increase crop diversity__control pest infestations__accelerate crop growth"
